"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
"DisconnectSWConnection","sw-services","pg.citya","72fc7f2b-f4ce-40c9-8f30-d1e681dec3a2",NULL,NULL,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331545883","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331545883","259200000"
"SW.AMENDMENT","SW","pg","73a1bc6f-8d57-4e84-b5a3-e3b5ea126725",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170781516","1723f919-bcce-4f6f-a135-4757075c5c27","1750320098459","0"
"ENGINEER","BPAREG","pg.citya","74869757-3306-41f1-af48-11114c78aeb3",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747303039536","0"
"AIRPORT_NOC_SRV","noc-services","pg","767feec3-12a8-433c-8c6c-622dac620a83",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170626068","1723f919-bcce-4f6f-a135-4757075c5c27","1745170626068","5184000000"
"FIRE_NOC_OFFLINE","noc-services","pg.citya","7c33d4ed-e749-4f04-9422-b44b4684d2da",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","5184000000"
"FSM_ZERO_PAY_SERVICE","fsm","pg","7de13989-75d7-468d-b05a-36d16ccae18a",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197702516","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197702516","172800000"
"SUPERVISOR","BPAREG","pg","7f960ae1-9e5a-48b1-8aa4-0e137e3656a4",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744613193390","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302742562","0"
"ModifySWConnection","sw-services","pg.citya","80c44e31-1a10-4ae4-9ee7-3fa714089b1b",NULL,NULL,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331535903","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331535903","259200000"
"AIRPORT_NOC_OFFLINE","noc-services","pg.citya","8f035da0-cb06-45d5-b46a-bbb072765aae",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","1723f919-bcce-4f6f-a135-4757075c5c27","1743483264461","5184000000"
"FSM_ADVANCE_PAY_SERVICE","fsm","pg","97092661-77f6-47a2-9397-d6f450397617",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197661636","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197661636","172800000"
"FSM_POST_PAY_SERVICE","fsm","pg.citya","979c1920-32ed-4337-8e56-60d9ccec24ec",NULL,NULL,"11b0e02b-0145-4de2-bc42-c97b96264807","1746620314146","11b0e02b-0145-4de2-bc42-c97b96264807","1746620314146","172800000"
